function,taylor
2*x - 2*cos(x),-x**4/12 + x**2 + 2*x - 2
-x*cos(x) + 2*sin(x),x**3/6 + x
x + 5,x + 5
x*cos(x),-x**3/2 + x
5*cos(x),5*x**4/24 - 5*x**2/2 + 5
0,0
x - 2,x - 2
2*x*sin(x),x**2*(6 - x**2)/3
-x - 1,-x - 1
x*(cos(x) + 1),x*(4 - x**2)/2
x + exp(x) - 5,x**4/24 + x**3/6 + x**2/2 + 2*x - 4
4*x,4*x
x*exp(x) + exp(x) - sin(x),5*x**4/24 + 5*x**3/6 + 3*x**2/2 + x + 1
x - cos(x) + 3,-x**4/24 + x**2/2 + x + 2
8 - x,8 - x
-x*sin(x) + 5,x**4/6 - x**2 + 5
x*exp(x) - sin(x),x**2*(x**2 + 4*x + 6)/6
x + 3,x + 3
-x*cos(x) + x - 4,x**3/2 - 4
sin(x)*cos(x)**2,-7*x**3/6 + x
-x + exp(x) - sin(x) + 1,x**4/24 + x**3/3 + x**2/2 - x + 2
exp(x) - sin(x),x**4/24 + x**3/3 + x**2/2 + 1
3*x + cos(x),x**4/24 - x**2/2 + 3*x + 1
-x + 9*exp(x),3*x**4/8 + 3*x**3/2 + 9*x**2/2 + 8*x + 9
x + exp(x) + 6,x**4/24 + x**3/6 + x**2/2 + 2*x + 7
-2*exp(x) + cos(x) - 4,-x**4/24 - x**3/3 - 3*x**2/2 - 2*x - 5
4 - x,4 - x
6*cos(x) - 2,x**4/4 - 3*x**2 + 4
x + 4,x + 4
5*x + 2,5*x + 2
1 - 5*sin(x),5*x**3/6 - 5*x + 1
-x + 5*exp(x),5*x**4/24 + 5*x**3/6 + 5*x**2/2 + 4*x + 5
sin(x) + 10,-x**3/6 + x + 10
sin(x) + sin(2*x)/2 - 1,-5*x**3/6 + 2*x - 1
2*exp(x),x**4/12 + x**3/3 + x**2 + 2*x + 2
-x + sin(x),-x**3/6
x - 2*sin(x),x**3/3 - x
-x**2 - x + exp(x),x**4/24 + x**3/6 - x**2/2 + 1
sin(2*x)/2 + 1,-2*x**3/3 + x + 1
2 - x,2 - x
-x*cos(x) - sin(x) + 5,2*x**3/3 - 2*x + 5
x*cos(x) + 1,-x**3/2 + x + 1
x**3,x**3
x + 5,x + 5
2*x,2*x
x + cos(x),x**4/24 - x**2/2 + x + 1
2*x + exp(x) - cos(x),x*(x**2 + 6*x + 18)/6
x + 4,x + 4
3 - sin(x),x**3/6 - x + 3
3*x,3*x
-x - cos(x),-x**4/24 + x**2/2 - x - 1
-4*x,-4*x
x*cos(x),-x**3/2 + x
5*x + sqrt(2)*sin(x + pi/4),x**4/24 - x**3/6 - x**2/2 + 6*x + 1
exp(x)*sin(x) + cos(x),x**4/24 + x**3/3 + x**2/2 + x + 1
x + 4*exp(x),x**4/6 + 2*x**3/3 + 2*x**2 + 5*x + 4
exp(x)*sin(x),x*(x**2/3 + x + 1)
x**2 + sin(x),x*(-x**2/6 + x + 1)
4*x,4*x
x*cos(x),-x**3/2 + x
x + cos(x) + 2,x**4/24 - x**2/2 + x + 3
x + cos(x)**2,x**4/3 - x**2 + x + 1
x - 2*exp(x) + sin(x),-x**4/12 - x**3/2 - x**2 - 2
x + sin(x) + 2,-x**3/6 + 2*x + 2
sin(x),-x**3/6 + x
x + 2*exp(x)*sin(x),x*(2*x**2 + 6*x + 9)/3
7,7
x + 4*exp(x),x**4/6 + 2*x**3/3 + 2*x**2 + 5*x + 4
5*x,5*x
2*x - sin(x) - 3,x**3/6 + x - 3
-x + sin(x),-x**3/6
4*cos(x),x**4/6 - 2*x**2 + 4
8,8
x + 2,x + 2
exp(2*x) + 6,2*x**4/3 + 4*x**3/3 + 2*x**2 + 2*x + 7
x**2 - x + exp(x),x**4/24 + x**3/6 + 3*x**2/2 + 1
exp(x) + 2,x**4/24 + x**3/6 + x**2/2 + x + 3
-x + exp(x) - sin(x) - 2,x**4/24 + x**3/3 + x**2/2 - x - 1
5*x - 1,5*x - 1
x + 2,x + 2
-sin(x) + 2*cos(x),x**4/12 + x**3/6 - x**2 - x + 2
4*x + 4,4*x + 4
x + 16,x + 16
(-exp(x)*cos(x) + 1)*exp(x),x*(x**3/3 - x**2/6 - x - 1)
2*x + 2,2*x + 2
x*(x + cos(x)),x*(-x**2/2 + x + 1)
4 - sin(x),x**3/6 - x + 4
0,0
x**2*cos(x),-x**4/2 + x**2
exp(x) + 2*cos(x) + 2,x**4/8 + x**3/6 - x**2/2 + x + 5
cos(x) + 4,x**4/24 - x**2/2 + 5
x + exp(x),x**4/24 + x**3/6 + x**2/2 + 2*x + 1
x*sin(x)**2,x**3
2*x + exp(x),x**4/24 + x**3/6 + x**2/2 + 3*x + 1
-sin(x) - cos(x) + 2,-x**4/24 + x**3/6 + x**2/2 - x + 1
2*x,2*x
x - sin(x) - cos(x),-x**4/24 + x**3/6 + x**2/2 - 1
x*sin(x) - x - cos(x),-5*x**4/24 + 3*x**2/2 - x - 1
x + 1,x + 1
cos(x),x**4/24 - x**2/2 + 1
x*(sin(x) - 1),x*(-x**3/6 + x - 1)
-x + sin(x) - cos(x),-x**4/24 - x**3/6 + x**2/2 - 1
-x*sin(x) + 2,x**4/6 - x**2 + 2
2*cos(x),x**4/12 - x**2 + 2
0,0
2*x - 5,2*x - 5
sin(x) + 3*cos(x),x**4/8 - x**3/6 - 3*x**2/2 + x + 3
2*sin(x) + 5*cos(x),5*x**4/24 - x**3/3 - 5*x**2/2 + 2*x + 5
x - exp(x),-x**4/24 - x**3/6 - x**2/2 - 1
-5*exp(x) + sin(x),-5*x**4/24 - x**3 - 5*x**2/2 - 4*x - 5
-x - cos(x) + 2,-x**4/24 + x**2/2 - x + 1
x**2,x**2
6*x - 1,6*x - 1
-2*x + exp(x),x**4/24 + x**3/6 + x**2/2 - x + 1
(x*sin(x) + 1)*cos(x),-5*x**4/8 + x**2/2 + 1
9,9
-3*x + exp(x),x**4/24 + x**3/6 + x**2/2 - 2*x + 1
x - exp(x) + 4,-x**4/24 - x**3/6 - x**2/2 + 3
cos(x) - 1,x**2*(x**2 - 12)/24
25*sin(x),25*x*(6 - x**2)/6
x - 6,x - 6
-cos(x) - 2,-x**4/24 + x**2/2 - 3
10,10
1 - cos(x),x**2*(12 - x**2)/24
x + 1,x + 1
4*exp(x) + 5,x**4/6 + 2*x**3/3 + 2*x**2 + 4*x + 9
2*x - sin(x),x**3/6 + x
6*x,6*x
4*sin(x),2*x*(6 - x**2)/3
5*x**2,5*x**2
2*x + 25,2*x + 25
4*sin(x) - 3,-2*x**3/3 + 4*x - 3
(cos(x) - 3)*exp(x),-7*x**4/24 - 5*x**3/6 - 3*x**2/2 - 2*x - 2
4*exp(x) - sqrt(2)*cos(x + pi/4),x**4/8 + x**3/2 + 5*x**2/2 + 5*x + 3
2*x - 3,2*x - 3
2*x,2*x
5*x - 2,5*x - 2
x - sin(2*x)/2 + 3,2*x**3/3 + 3
-cos(x),-x**4/24 + x**2/2 - 1
2 - x**2,2 - x**2
x*sin(x),-x**4/6 + x**2
-exp(x) - sin(x),-x**4/24 - x**2/2 - 2*x - 1
x + cos(x) - 7,x**4/24 - x**2/2 + x - 6
x + sin(x) - 2,-x**3/6 + 2*x - 2
-x + sin(x) - 3,-x**3/6 - 3
4*cos(x),x**4/6 - 2*x**2 + 4
-x*exp(x) + 3,-x**4/6 - x**3/2 - x**2 - x + 3
exp(x) + sin(x),x**4/24 + x**2/2 + 2*x + 1
exp(x)*sin(x),x*(x**2/3 + x + 1)
2*exp(x),x**4/12 + x**3/3 + x**2 + 2*x + 2
exp(x) + 1,x**4/24 + x**3/6 + x**2/2 + x + 2
2*x,2*x
3 - 2*sin(x),x**3/3 - 2*x + 3
3,3
x + sin(x),x*(12 - x**2)/6
5 - 3*x,5 - 3*x
x + cos(x) - 2,x**4/24 - x**2/2 + x - 1
x**2 - x - exp(x),-x**4/24 - x**3/6 + x**2/2 - 2*x - 1
0,0
2*x + sin(x) + 2,-x**3/6 + 3*x + 2
5*x*sin(x),5*x**2*(6 - x**2)/6
sin(x),-x**3/6 + x
1 - cos(x),x**2*(12 - x**2)/24
x**2*cos(x),-x**4/2 + x**2
cos(x) + 4,x**4/24 - x**2/2 + 5
1 - 3*sin(x),x**3/2 - 3*x + 1
x*(1 - 3*cos(x)),x*(3*x**2 - 4)/2
x*cos(x),-x**3/2 + x
2*x + cos(x),x**4/24 - x**2/2 + 2*x + 1
3*exp(x)*sin(x),x*(x**2 + 3*x + 3)
2*x + 3,2*x + 3
sin(x) - 1,-x**3/6 + x - 1
3*x - cos(x) + 4,-x**4/24 + x**2/2 + 3*x + 3
5,5
sin(x) + cos(x),x**4/24 - x**3/6 - x**2/2 + x + 1
x + sin(x) + 3,-x**3/6 + 2*x + 3
x**2 + 5,x**2 + 5
sin(x),-x**3/6 + x
x**2 + 1,x**2 + 1
x*(exp(x)*cos(x) + 1),x*(-x**3 + 3*x + 6)/3
exp(x) - sin(x) + 2,x**4/24 + x**3/3 + x**2/2 + 3
x*exp(x) + 1,x**4/6 + x**3/2 + x**2 + x + 1
-exp(x) - 1,-x**4/24 - x**3/6 - x**2/2 - x - 2
x**2*sin(x),x**3
x + 3*exp(x) + 2,x**4/8 + x**3/2 + 3*x**2/2 + 4*x + 5
x + exp(x) - 5,x**4/24 + x**3/6 + x**2/2 + 2*x - 4
x*cos(x) + x - sin(x),-x**3/3 + x
-x + sin(x) + 4,4 - x**3/6
9*x,9*x
-exp(x) + sin(x),-x**4/24 - x**3/3 - x**2/2 - 1
-cos(x),-x**4/24 + x**2/2 - 1
x + sin(x) - 4,-x**3/6 + 2*x - 4
-x + cos(x)**2,x**4/3 - x**2 - x + 1
2*x - sin(x) + 3,x**3/6 + x + 3
x*(sin(x) + 2),x*(-x**3 + 6*x + 12)/6
-2*exp(x) + cos(x),-x**4/24 - x**3/3 - 3*x**2/2 - 2*x - 1
6*x,6*x
sin(x),-x**3/6 + x
8 - x,8 - x
x*(x*cos(x) + 1),x*(-x**3/2 + x + 1)
-exp(2*x) + sin(x) + 3,-2*x**4/3 - 3*x**3/2 - 2*x**2 - x + 2
x + sin(x) + 5,-x**3/6 + 2*x + 5
2*x - 2,2*x - 2
cos(x) - 5,x**4/24 - x**2/2 - 4
sin(x) - cos(x) + 5,-x**4/24 - x**3/6 + x**2/2 + x + 4
exp(x) + 5,x**4/24 + x**3/6 + x**2/2 + x + 6
exp(x) + sin(x) + 3,x**4/24 + x**2/2 + 2*x + 4
2*x - sin(x),x**3/6 + x
x + exp(x) + 2,x**4/24 + x**3/6 + x**2/2 + 2*x + 3
x,x
2*x + sin(x) + 2,-x**3/6 + 3*x + 2
x - sin(x),x**3/6
0,0
exp(x) + cos(x),x**4/12 + x**3/6 + x + 2
2*x + 9,2*x + 9
x + sin(x) + 2,-x**3/6 + 2*x + 2
5 - exp(2*x),-2*x**4/3 - 4*x**3/3 - 2*x**2 - 2*x + 4
x + 5,x + 5
-x + exp(x) + 2,x**4/24 + x**3/6 + x**2/2 + 3
4,4
5*x + cos(x),x**4/24 - x**2/2 + 5*x + 1
2*x + 1,2*x + 1
cos(x) + 1,x**4/24 - x**2/2 + 2
0,0
-x + cos(x)**2 - 2,x**4/3 - x**2 - x - 1
20,20
16,16
9,9
5 - x,5 - x
2 - x,2 - x
-x + exp(x),x**4/24 + x**3/6 + x**2/2 + 1
6*x + 5,6*x + 5
102,102
2*x - sin(x),x**3/6 + x
x*sin(x),-x**4/6 + x**2
x*sin(x),-x**4/6 + x**2
x + sin(x) + 4,-x**3/6 + 2*x + 4
x,x
-x*cos(x) + 1,x**3/2 - x + 1
4*cos(x),x**4/6 - 2*x**2 + 4
5*sin(x),5*x*(6 - x**2)/6
-x*sin(x) + exp(x) - sin(x),5*x**4/24 + x**3/3 - x**2/2 + 1
x,x
4*sin(x),2*x*(6 - x**2)/3
1,1
2 - exp(x),-x**4/24 - x**3/6 - x**2/2 - x + 1
exp(x) - 2,x**4/24 + x**3/6 + x**2/2 + x - 1
4,4
5*exp(x) - cos(x) + 5,x**4/6 + 5*x**3/6 + 3*x**2 + 5*x + 9
x*cos(x),-x**3/2 + x
x*sin(x) - cos(x),-5*x**4/24 + 3*x**2/2 - 1
sin(x) - cos(x),-x**4/24 - x**3/6 + x**2/2 + x - 1
2*sin(x) + 5,-x**3/3 + 2*x + 5
-x*cos(x) + exp(x),x**4/24 + 2*x**3/3 + x**2/2 + 1
x + exp(x)*cos(x),-x**4/6 - x**3/3 + 2*x + 1
x*exp(x) + cos(x) + 4,5*x**4/24 + x**3/2 + x**2/2 + x + 5
x - 4,x - 4
x + sin(x) + cos(x),x**4/24 - x**3/6 - x**2/2 + 2*x + 1
-2*x - exp(x) + 5,-x**4/24 - x**3/6 - x**2/2 - 3*x + 4
2*x**2,2*x**2
2*x + 5,2*x + 5
x - exp(x) - cos(x) - 3,-x**4/12 - x**3/6 - 5
1 - sin(2*x)/2,2*x**3/3 - x + 1
exp(x) + 17,x**4/24 + x**3/6 + x**2/2 + x + 18
sin(x) - cos(x) + 2,-x**4/24 - x**3/6 + x**2/2 + x + 1
x*(sin(x) + 1),x*(-x**3/6 + x + 1)
cos(x) - 2,x**4/24 - x**2/2 - 1
10,10
exp(x)*cos(x),-x**4/6 - x**3/3 + x + 1
1 - x,1 - x
-exp(x) + cos(x),-x*(x**2/6 + x + 1)
-1,-1
4 - 2*x,4 - 2*x
5*x + sin(x),x*(36 - x**2)/6
(x*cos(x) + 1)*exp(x),-7*x**4/24 + x**3/6 + 3*x**2/2 + 2*x + 1
2,2
x + sin(x) - cos(x),-x**4/24 - x**3/6 + x**2/2 + 2*x - 1
x - 1,x - 1
-x - 4*exp(x) + 5,-x**4/6 - 2*x**3/3 - 2*x**2 - 5*x + 1
-x - 2,-x - 2
x + exp(x) + 2,x**4/24 + x**3/6 + x**2/2 + 2*x + 3
-x + cos(x) + 1,x**4/24 - x**2/2 - x + 2
x + 2,x + 2
2*sin(x) + 5,-x**3/3 + 2*x + 5
4*x + sin(x)**2,x*(-x**3 + 3*x + 12)/3
3*x + cos(x),x**4/24 - x**2/2 + 3*x + 1
x + 4,x + 4
(x*cos(x) - 1)*exp(x),-3*x**4/8 - x**3/6 + x**2/2 - 1
-2*x + cos(x) - 1,x*(x**3 - 12*x - 48)/24
x*cos(x) + exp(x),x**4/24 - x**3/3 + x**2/2 + 2*x + 1
x*cos(x),-x**3/2 + x
x + cos(x),x**4/24 - x**2/2 + x + 1
9*sin(x),3*x*(6 - x**2)/2
4*x,4*x
x*exp(x) + x + cos(x),5*x**4/24 + x**3/2 + x**2/2 + 2*x + 1
2*exp(x),x**4/12 + x**3/3 + x**2 + 2*x + 2
x*sin(x) + x - 4,-x**4/6 + x**2 + x - 4
exp(x) + 4,x**4/24 + x**3/6 + x**2/2 + x + 5
x + 1,x + 1
16*exp(x),2*x**4/3 + 8*x**3/3 + 8*x**2 + 16*x + 16
x*cos(x) + x + 5,-x**3/2 + 2*x + 5
x**2 + x - 5,x**2 + x - 5
x**2*sin(2*x)/2,x**3
x,x
2*x + 4,2*x + 4
-x + sin(x),-x**3/6
sin(x) + 1,-x**3/6 + x + 1
-4*sin(x),2*x*(x**2 - 6)/3
cos(x) + 1,x**4/24 - x**2/2 + 2
3*x + 5,3*x + 5
x + cos(x) - 5,x**4/24 - x**2/2 + x - 4
17,17
-x + exp(x) + sin(x) - 3,x**4/24 + x**2/2 + x - 2
-exp(x) - cos(x) + 2,-x**4/12 - x**3/6 - x
x*cos(x),-x**3/2 + x
x*exp(x) + sin(x),x*(x**3 + 2*x**2 + 6*x + 12)/6
x - exp(x) + 5,-x**4/24 - x**3/6 - x**2/2 + 4
x + sin(x),x*(12 - x**2)/6
-x,-x
x*cos(x) + sin(x),2*x*(3 - x**2)/3
3*x + 4,3*x + 4
0,0
x*(1 - sin(x)),x*(x**3/6 - x + 1)
(x*sin(x) + 1)*exp(x),3*x**4/8 + 7*x**3/6 + 3*x**2/2 + x + 1
exp(x) - 5*sin(x),x**4/24 + x**3 + x**2/2 - 4*x + 1
-x - sin(x) + 1,x**3/6 - 2*x + 1
4*x,4*x
-x + exp(x) - 2,x**4/24 + x**3/6 + x**2/2 - 1
5*x + 5,5*x + 5
x + sin(x),x*(12 - x**2)/6
3*x - 3,3*x - 3
x + sin(x) - 2,-x**3/6 + 2*x - 2
x + exp(x)*sin(x),x*(x**2 + 3*x + 6)/3
5*sin(x)**2,5*x**2*(3 - x**2)/3
2*x + exp(x),x**4/24 + x**3/6 + x**2/2 + 3*x + 1
x - exp(x) - 2,-x**4/24 - x**3/6 - x**2/2 - 3
x*exp(x)*sin(x),x**2*(x**2/3 + x + 1)
x - cos(x),-x**4/24 + x**2/2 + x - 1
3*x,3*x
8,8
-exp(x) - sqrt(2)*cos(x + pi/4) + 5,-x**4/12 - x**3/3 + 3
-4*cos(x),-x**4/6 + 2*x**2 - 4
2*x*exp(x),x*(x**3 + 3*x**2 + 6*x + 6)/3
-x + cos(x),x**4/24 - x**2/2 - x + 1
x*sin(x),-x**4/6 + x**2
-x + cos(x),x**4/24 - x**2/2 - x + 1
x*(exp(x) - 1),x**2*(x**2 + 3*x + 6)/6
x + 14,x + 14
x*sin(x),-x**4/6 + x**2
9*x**2,9*x**2
-x - 5,-x - 5
x*cos(x) - x + 4,4 - x**3/2
x - cos(x) + 4,-x**4/24 + x**2/2 + x + 3
-x**2 + x + cos(x),x**4/24 - 3*x**2/2 + x + 1
x**2*sin(x) + 3,x**3 + 3
exp(x) + 1,x**4/24 + x**3/6 + x**2/2 + x + 2
x + 3,x + 3
-x - 3*cos(x) + 2,-x**4/8 + 3*x**2/2 - x - 1
-x + exp(x) - 2,x**4/24 + x**3/6 + x**2/2 - 1
5*x + sin(x),x*(36 - x**2)/6
(x*exp(x) + 1)*sin(x),x*(x**3/3 + 5*x**2/6 + x + 1)
x + 5*sin(x),x*(36 - 5*x**2)/6
-x**2 + sin(x),x*(-x**2/6 - x + 1)
12,12
exp(x) - 1,x*(x**3 + 4*x**2 + 12*x + 24)/24
20,20
2*x + 5,2*x + 5
x**2,x**2
exp(x) + 1,x**4/24 + x**3/6 + x**2/2 + x + 2
-x + cos(x),x**4/24 - x**2/2 - x + 1
x - exp(x) + sin(x),-x**4/24 - x**3/3 - x**2/2 + x - 1
x + 10,x + 10
2*x + cos(x),x**4/24 - x**2/2 + 2*x + 1
2 - x**2,2 - x**2
-5*x + exp(x),x**4/24 + x**3/6 + x**2/2 - 4*x + 1
0,0
exp(2*x),2*x**4/3 + 4*x**3/3 + 2*x**2 + 2*x + 1
x + sin(x),x*(12 - x**2)/6
-2*x + sin(x),-x**3/6 - x
x + 3,x + 3
0,0
4*sin(x) - cos(x),-x**4/24 - 2*x**3/3 + x**2/2 + 4*x - 1
5*exp(x),5*x**4/24 + 5*x**3/6 + 5*x**2/2 + 5*x + 5
x + 4,x + 4
3*x - sin(x),x*(x**2 + 12)/6
sin(x) + 1,-x**3/6 + x + 1
2*x + exp(2*x),2*x**4/3 + 4*x**3/3 + 2*x**2 + 4*x + 1
2*sin(x),x*(6 - x**2)/3
5*sin(x),5*x*(6 - x**2)/6
1 - x,1 - x
-2*x + cos(x) + 4,x**4/24 - x**2/2 - 2*x + 5
1 - x,1 - x
x*(1 - sin(x)),x*(x**3/6 - x + 1)
-5*x,-5*x
3*x,3*x
2*x - cos(x) + 4,-x**4/24 + x**2/2 + 2*x + 3
2*sin(x) + 4,-x**3/3 + 2*x + 4
-x - exp(x) + 3,-x**4/24 - x**3/6 - x**2/2 - 2*x + 2
13,13
x + 4,x + 4
2*x - 5,2*x - 5
x*(exp(x) + 1),x*(x**3 + 3*x**2 + 6*x + 12)/6
2 - 4*sin(x),2*x**3/3 - 4*x + 2
exp(x),x**4/24 + x**3/6 + x**2/2 + x + 1
x - exp(x) - sin(x) - 1,-x**4/24 - x**2/2 - x - 2
0,0
x - 4*exp(x) + cos(x),-x**4/8 - 2*x**3/3 - 5*x**2/2 - 3*x - 3
x*cos(x) - 2*exp(x),-x**4/12 - 5*x**3/6 - x**2 - x - 2
exp(x)*sin(x),x*(x**2/3 + x + 1)
x + 4,x + 4
2 - 3*cos(x),-x**4/8 + 3*x**2/2 - 1
-x + cos(x),x**4/24 - x**2/2 - x + 1
exp(x) - cos(x) + 4,x**3/6 + x**2 + x + 4
-x + exp(x),x**4/24 + x**3/6 + x**2/2 + 1
2*x + 9,2*x + 9
x*cos(x) + 2,-x**3/2 + x + 2
4 - x,4 - x
x*exp(x),x*(x**3/6 + x**2/2 + x + 1)
x - exp(x) - sqrt(2)*sin(x + pi/4),-x**4/12 - x - 2
5 - exp(x),-x**4/24 - x**3/6 - x**2/2 - x + 4
x*exp(x)*sin(x) + cos(x),3*x**4/8 + x**3 + x**2/2 + 1
3*x - 5,3*x - 5
(x + 1)*sin(x),x*(-x**3 - x**2 + 6*x + 6)/6
x - sqrt(2)*cos(x + pi/4) + 4,-x**4/24 - x**3/6 + x**2/2 + 2*x + 3
5*x*cos(x) - exp(x),-x**4/24 - 8*x**3/3 - x**2/2 + 4*x - 1
x,x
exp(x) + sin(x),x**4/24 + x**2/2 + 2*x + 1
-x,-x
exp(x) + sqrt(2)*cos(x + pi/4),x**4/12 + x**3/3 + 2
sin(x) + 1,-x**3/6 + x + 1
-2,-2
-x + exp(x)*cos(x),-x**4/6 - x**3/3 + 1
-cos(x) - 2,-x**4/24 + x**2/2 - 3
5*x**2*exp(x),5*x**2*(x**2 + 2*x + 2)/2
x - sin(x) + 1,x**3/6 + 1
-x**2 - 3,-x**2 - 3
9 - cos(x),-x**4/24 + x**2/2 + 8
-x**2 + sin(x) + 2,-x**3/6 - x**2 + x + 2
x*(1 - cos(x)),x**3/2
-x**2,-x**2
exp(x)*sin(x) + 6,x**3/3 + x**2 + x + 6
-2,-2
exp(x) + 3,x**4/24 + x**3/6 + x**2/2 + x + 4
x*sin(x),-x**4/6 + x**2
x*sin(x),-x**4/6 + x**2
-x + cos(x) - 12,x**4/24 - x**2/2 - x - 11
x + exp(x),x**4/24 + x**3/6 + x**2/2 + 2*x + 1
x*(cos(x) + 1),x*(4 - x**2)/2
x + exp(x),x**4/24 + x**3/6 + x**2/2 + 2*x + 1
-sin(x) - cos(x),-x**4/24 + x**3/6 + x**2/2 - x - 1
sin(x) + 1,-x**3/6 + x + 1
4*x,4*x
x*sin(x),-x**4/6 + x**2
-x - exp(x) + cos(x),x*(-x**2 - 6*x - 12)/6
20,20
x + exp(x) - sin(2*x)/2,x**4/24 + 5*x**3/6 + x**2/2 + x + 1
x + 8,x + 8
5*cos(x) - 1,5*x**4/24 - 5*x**2/2 + 4
cos(x) + 1,x**4/24 - x**2/2 + 2
x,x
4*x - cos(x),-x**4/24 + x**2/2 + 4*x - 1
0,0
2*x + cos(x) + 5,x**4/24 - x**2/2 + 2*x + 6
2*x,2*x
x*exp(x),x*(x**3/6 + x**2/2 + x + 1)
4 - cos(x),-x**4/24 + x**2/2 + 3
-1,-1
5,5
x + exp(x)*sin(x) - 4,x**3/3 + x**2 + 2*x - 4
5 - cos(x),-x**4/24 + x**2/2 + 4
x**2,x**2
cos(x) - 5,x**4/24 - x**2/2 - 4
3*x,3*x
-1,-1
-x + sqrt(2)*cos(x + pi/4) - 2,x**4/24 + x**3/6 - x**2/2 - 2*x - 1
x + 10,x + 10
cos(x) - 3,x**4/24 - x**2/2 - 2
exp(x) + 5,x**4/24 + x**3/6 + x**2/2 + x + 6
5*x,5*x
-2*x,-2*x
x*cos(x),-x**3/2 + x
9 - 3*sin(x),x**3/2 - 3*x + 9
4 - cos(x),-x**4/24 + x**2/2 + 3
-x*sin(x) + 3,x**4/6 - x**2 + 3
exp(x) + sin(2*x)/2,x**4/24 - x**3/2 + x**2/2 + 2*x + 1
2*x + sin(x),x*(18 - x**2)/6
2*x,2*x
exp(x) + 8,x**4/24 + x**3/6 + x**2/2 + x + 9
x*exp(2*x),x*(4*x**3 + 6*x**2 + 6*x + 3)/3
x*exp(x) - 5,x**4/6 + x**3/2 + x**2 + x - 5
x**2 - x + 4,x**2 - x + 4
x**2 + 2,x**2 + 2
exp(x) - 4,x**4/24 + x**3/6 + x**2/2 + x - 3
1,1
-x + sin(x),-x**3/6
x - cos(x),-x**4/24 + x**2/2 + x - 1
x + exp(x),x**4/24 + x**3/6 + x**2/2 + 2*x + 1
2*x*sin(x) + 3,-x**4/3 + 2*x**2 + 3
x + cos(x),x**4/24 - x**2/2 + x + 1
x*(exp(x) + 1),x*(x**3 + 3*x**2 + 6*x + 12)/6
2*x,2*x
x*cos(x),-x**3/2 + x
x*(1 - exp(2*x)),x**2*(-4*x**2/3 - 2*x - 2)
x + 5*sin(x),x*(36 - 5*x**2)/6
x + exp(x) - sin(x) - 4,x**4/24 + x**3/3 + x**2/2 + x - 3
4*exp(x) - 3,x**4/6 + 2*x**3/3 + 2*x**2 + 4*x + 1
cos(x),x**4/24 - x**2/2 + 1
x*sin(x) + 1,-x**4/6 + x**2 + 1
exp(x) + sqrt(2)*cos(x + pi/4),x**4/12 + x**3/3 + 2
x - 4,x - 4
sin(x),-x**3/6 + x
exp(x)*sin(x),x*(x**2/3 + x + 1)
(cos(x) + 1)*sin(x),x*(12 - 5*x**2)/6
3*sin(x),x*(6 - x**2)/2
5*sin(x),5*x*(6 - x**2)/6
x + 4,x + 4
5 - x,5 - x
-x - sin(x) + 3,x**3/6 - 2*x + 3
2*x,2*x
x*(1 - sin(x)),x*(x**3/6 - x + 1)
exp(x) - cos(x),x*(x**2/6 + x + 1)
sin(x) - 3,-x**3/6 + x - 3
x + sin(x) - 1,-x**3/6 + 2*x - 1
3*x - cos(x),-x**4/24 + x**2/2 + 3*x - 1
2*x + 10,2*x + 10
-x + sin(x),-x**3/6
x*(1 - 4*x),x*(1 - 4*x)
6*exp(x),x**4/4 + x**3 + 3*x**2 + 6*x + 6
x - sin(x),x**3/6
cos(x) + 2,x**4/24 - x**2/2 + 3
sin(x) + 4,-x**3/6 + x + 4
4*x,4*x
x*exp(x) - 3,x**4/6 + x**3/2 + x**2 + x - 3
x*sin(2*x)/2,-2*x**4/3 + x**2
8*sin(x),4*x*(6 - x**2)/3
5 - sin(x),x**3/6 - x + 5
exp(x) + 4,x**4/24 + x**3/6 + x**2/2 + x + 5
5,5
-x + 2*exp(x) + cos(x),x**4/8 + x**3/3 + x**2/2 + x + 3
-x + 2*cos(x) + 5,x**4/12 - x**2 - x + 7
sin(x) - 3,-x**3/6 + x - 3
3 - sin(x),x**3/6 - x + 3
x*cos(x),-x**3/2 + x
-x + cos(x),x**4/24 - x**2/2 - x + 1
5 - x,5 - x
7,7
25,25
x - exp(x) - 5,-x**4/24 - x**3/6 - x**2/2 - 6
x*sin(x),-x**4/6 + x**2
-exp(x) + sin(x) - 1,-x**4/24 - x**3/3 - x**2/2 - 2
x*sin(x),-x**4/6 + x**2
exp(x) - 5,x**4/24 + x**3/6 + x**2/2 + x - 4
x - 4*cos(x),-x**4/6 + 2*x**2 + x - 4
4*exp(x),x**4/6 + 2*x**3/3 + 2*x**2 + 4*x + 4
x**2 + exp(x)*sin(x),x*(x**2 + 6*x + 3)/3
x*(exp(x) - 2),x*(x**3/6 + x**2/2 + x - 1)
2*exp(x) + sin(x),x**4/12 + x**3/6 + x**2 + 3*x + 2
2*x - cos(x),-x**4/24 + x**2/2 + 2*x - 1
x + exp(x) + 5,x**4/24 + x**3/6 + x**2/2 + 2*x + 6
sin(x) + 4,-x**3/6 + x + 4
7*cos(x),7*x**4/24 - 7*x**2/2 + 7
3*x - 5,3*x - 5
15*x*cos(x),15*x*(2 - x**2)/2
-x - sin(x) + 2,x**3/6 - 2*x + 2
1 - 2*x,1 - 2*x
-x + 2*cos(x),x**4/12 - x**2 - x + 2
3,3
